price,beds,baths,URL,Sqft,Adress,state,zip_code,Sold Price,Sold Date
"$395,829",—,—,https://www.redfin.com/CA/Calabasas/5421-Parkmor-Rd-91302/home/3329431,"7,899Sq Ft (Lot)","5421 Parkmor Rd,Calabasas, CA 91302",CA,91302,"$515,050","Mar 11,2022."
"$1,766,963",4,3,https://www.redfin.com/CA/Calabasas/5675-Ruthwood-Dr-91302/home/3329740,"2,161Sq Ft","5675 Ruthwood Dr,Calabasas, CA 91302",CA,91302,"$1,450,000","Oct 27,2020."
"$1,273,588",4,3,https://www.redfin.com/CA/Calabasas/5751-Parkmor-Rd-91302/home/3329914,"2,270Sq Ft","5751 Parkmor Rd,Calabasas, CA 91302",CA,91302,"$885,000","Nov 23,2020."
"$1,338,337",4,2,https://www.redfin.com/CA/Calabasas/26176-Adamor-Rd-91302/home/3329982,"1,850Sq Ft","26176 Adamor Rd,Calabasas, CA 91302",CA,91302,"$800,000","Mar 26,2021."
"$1,558,579",4,3,https://www.redfin.com/CA/Calabasas/26077-Farmfield-Rd-91302/home/3330132,"1,850Sq Ft","26077 Farmfield Rd,Calabasas, CA 91302",CA,91302,"$1,646,000","Mar 16,2022."
"$1,513,486",4,2,https://www.redfin.com/CA/Calabasas/5839-Parkmor-Rd-91302/home/3330307,"1,850Sq Ft","5839 Parkmor Rd,Calabasas, CA 91302",CA,91302,"$1,550,000","Mar 30,2022."
"$743,463",2,2.5,https://www.redfin.com/CA/Calabasas/26020-Alizia-Canyon-Dr-91302/unit-C/home/3330673,"1,484Sq Ft","26020 Alizia Canyon Dr Unit C,Calabasas, CA 91302",CA,91302,"$640,000","Jun 15,2021."
"$718,929",3,2,https://www.redfin.com/CA/Calabasas/26018-Alizia-Canyon-Dr-91302/unit-A/home/3330683,"1,614Sq Ft","26018 Alizia Canyon Dr Unit A,Calabasas, CA 91302",CA,91302,"$535,000","Sep 25,2019."
"$730,018",3,2.5,https://www.redfin.com/CA/Calabasas/26007-Alizia-Canyon-Dr-91302/unit-F/home/3330798,"1,499Sq Ft","26007 Alizia Canyon Dr Unit F,Calabasas, CA 91302",CA,91302,"$520,000","Apr 6,2018."
"$723,239",3,2.5,https://www.redfin.com/CA/Calabasas/26003-Alizia-Canyon-Dr-91302/unit-B/home/3330822,"1,352Sq Ft","26003 Alizia Canyon Dr Unit B,Calabasas, CA 91302",CA,91302,"$525,000","Jul 17,2020."
"$799,664",3,2.5,https://www.redfin.com/CA/Calabasas/26108-Alizia-Canyon-Dr-91302/unit-D/home/3330900,"1,499Sq Ft","26108 Alizia Canyon Dr Unit D,Calabasas, CA 91302",CA,91302,"$805,000","Apr 15,2022."
"$745,108",3,3,https://www.redfin.com/CA/Calabasas/26106-Alizia-Canyon-Dr-91302/unit-D/home/3330931,"1,499Sq Ft","26106 Alizia Canyon Dr Unit D,Calabasas, CA 91302",CA,91302,"$553,000","May 9,2018."
"$768,021",3,3,https://www.redfin.com/CA/Calabasas/26124-Alizia-Canyon-Dr-91302/unit-D/home/3330997,"1,518Sq Ft","26124 Alizia Canyon Dr Unit D,Calabasas, CA 91302",CA,91302,"$645,000","Apr 30,2021."
"$760,814",3,2.5,https://www.redfin.com/CA/Calabasas/26122-Alizia-Canyon-Dr-91302/unit-C/home/3331008,"1,649Sq Ft","26122 Alizia Canyon Dr Unit C,Calabasas, CA 91302",CA,91302,"$665,000","Oct 19,2021."
"$777,991",3,2.5,https://www.redfin.com/CA/Calabasas/26120-Alizia-Canyon-Dr-91302/unit-E/home/3331036,"1,648Sq Ft","26120 Alizia Canyon Dr Unit E,Calabasas, CA 91302",CA,91302,"$530,000","Mar 28,2018."
"$1,248,944",4,3,https://www.redfin.com/CA/Calabasas/26914-Helmond-Dr-91301/home/3331048,"1,953Sq Ft","26914 Helmond Dr,Calabasas, CA 91301",CA,91301,"$781,000","Oct 7,2019."
"$1,788,504",4,3,https://www.redfin.com/CA/Calabasas/26936-Helmond-Dr-91301/home/3331057,"3,067Sq Ft","26936 Helmond Dr,Calabasas, CA 91301",CA,91301,"$1,526,000","Apr 7,2021."
